@RELATION LeagueofLegends

@ATTRIBUTE gamelength numeric
@ATTRIBUTE gold numeric
@ATTRIBUTE kills numeric
@ATTRIBUTE inhibitors numeric
@ATTRIBUTE towers numeric
@ATTRIBUTE dragons numeric
@ATTRIBUTE barons numeric
@ATTRIBUTE heralds numeric
@ATTRIBUTE class {'yes','no'}
@data
40,62729,16,2,9,1,0,0,yes
40,56672,9,0,4,3,1,0,no
38,57702,10,0,7,3,1,0,no
38,56537,9,1,7,1,0,0,yes
40,70270,22,4,15,4,1,0,yes
40,56355,8,0,2,0,0,0,no
41,58612,10,0,4,0,1,0,no
41,63119,21,1,7,4,0,0,yes
35,60269,22,1,8,2,1,0,yes
35,48947,10,0,4,1,0,0,no
24,31022,4,0,0,0,0,0,no
24,38074,8,2,10,3,0,0,yes
39,68888,25,2,10,3,1,0,yes
39,54795,7,0,3,2,0,0,no
43,77050,27,3,11,3,2,0,yes
43,61654,12,0,9,2,0,0,no
41,59589,8,0,6,0,1,0,no
41,70503,22,4,11,4,1,0,yes
32,57686,16,3,11,1,1,0,yes
32,46819,9,0,3,1,0,0,no
52,79673,5,3,11,5,1,0,yes
52,67461,4,0,7,1,0,0,no
46,70891,16,2,8,1,1,0,yes
46,70393,14,1,6,4,1,0,no
38,67964,15,3,11,4,2,0,yes
38,52080,3,0,4,0,0,0,no
31,40857,4,0,2,1,0,0,no
31,51711,12,2,11,3,1,0,yes
33,54782,13,2,11,3,1,0,yes
33,44591,4,0,3,0,0,0,no
38,59361,15,2,10,5,0,0,yes
38,52276,7,0,3,0,0,0,no
40,50744,2,0,4,0,0,0,no
40,71350,21,3,12,5,2,0,yes
39,61601,13,1,10,4,1,0,yes
39,49274,1,0,3,1,0,0,no
40,64058,20,1,8,2,0,0,yes
40,62056,14,2,8,2,1,0,no
39,60829,15,0,4,1,0,0,no
39,63126,19,1,8,3,1,0,yes
49,71651,12,0,5,2,0,0,no
49,89858,27,4,11,3,2,0,yes
35,57704,17,2,9,2,1,0,yes
35,47025,4,0,3,2,0,0,no
36,50216,6,0,5,3,0,0,no
36,62972,18,2,12,1,2,0,yes
43,71947,10,4,11,3,2,0,yes
43,56138,4,0,2,3,0,0,no
32,44256,10,0,2,1,0,0,no
32,62024,21,2,9,2,2,0,yes
31,50894,6,2,10,3,1,0,yes
31,39505,4,0,3,0,0,0,no
36,64844,16,1,14,2,1,0,yes
36,50831,7,0,4,2,0,0,no
41,58442,8,0,5,2,0,0,no
41,66936,18,1,9,3,2,0,yes
31,56452,18,4,11,3,1,0,yes
31,38777,3,0,2,0,0,0,no
30,55041,18,2,10,3,1,0,yes
30,39704,4,0,2,0,0,0,no
45,63609,8,0,4,3,0,0,no
45,70387,16,3,10,2,1,0,yes
42,73235,30,1,8,4,0,0,yes
42,63477,12,0,3,1,0,0,no
27,31786,1,0,1,2,0,0,no
27,46437,7,1,9,1,1,0,yes
35,44815,3,0,2,1,0,0,no
35,61358,18,3,11,3,2,0,yes
43,65000,17,0,3,2,0,0,no
43,81933,25,5,11,3,3,0,yes
37,63371,16,1,9,2,1,0,yes
37,52994,8,0,3,2,0,0,no
40,72105,24,3,11,2,1,0,yes
40,59481,11,0,5,3,1,0,no
46,71614,15,1,6,4,2,0,no
46,73039,20,1,9,1,0,0,yes
48,86781,24,4,16,4,2,0,yes
48,68754,11,0,4,2,0,0,no
39,67932,27,1,9,2,1,0,yes
39,57414,15,0,6,3,0,0,no
40,58569,7,0,5,3,1,0,no
40,63019,10,1,9,2,0,0,yes
49,70221,13,1,7,2,0,0,no
49,74791,20,1,9,5,1,0,yes
37,64875,14,2,10,2,1,0,yes
37,50163,3,0,4,2,0,0,no
35,45351,5,0,2,1,0,0,no
35,58391,14,3,11,3,1,0,yes
24,40826,10,1,7,2,1,0,yes
24,30530,2,0,2,0,0,0,no
44,70311,15,3,10,3,2,0,yes
44,64040,11,1,5,3,0,0,no
54,90523,23,7,11,7,2,0,yes
54,89194,21,0,3,0,0,0,no
47,70262,12,0,6,3,0,0,no
47,84614,26,2,9,3,2,0,yes
33,45053,9,0,3,1,0,0,no
33,57521,20,3,11,2,1,0,yes
30,52046,14,2,10,3,0,0,yes
30,37952,5,0,0,0,0,0,no
34,45062,3,0,3,2,0,0,no
34,58887,10,2,10,2,1,0,yes
49,77749,18,1,8,1,1,0,yes
49,77584,11,2,8,4,2,0,no
29,53344,13,1,10,3,1,0,yes
29,39069,3,0,0,0,0,0,no
33,62572,20,1,10,3,2,0,yes
33,44803,6,0,2,1,0,0,no
29,54095,15,2,11,3,1,0,yes
29,34867,3,0,0,1,0,0,no
33,57140,15,3,11,3,2,0,yes
33,40838,3,0,2,0,0,0,no
30,54032,16,2,11,4,1,0,yes
30,36728,2,0,1,0,0,0,no
42,69240,21,1,8,3,0,0,yes
42,63856,11,0,4,1,0,0,no
55,86466,15,1,8,4,1,0,no
55,94673,22,1,9,3,2,0,yes
38,66716,19,2,10,2,1,0,yes
38,51153,5,0,3,2,0,0,no
51,76901,20,1,9,3,1,0,yes
51,74757,10,1,6,3,1,0,no
36,47505,4,0,2,2,0,0,no
36,62019,11,4,11,3,1,0,yes
46,74619,20,1,7,2,2,0,no
46,76310,20,1,9,3,0,0,yes
40,70930,19,1,8,2,1,0,yes
40,61661,3,2,7,3,1,0,no
46,68445,8,0,3,1,1,0,no
46,72165,15,1,8,5,1,0,yes
46,75833,17,3,11,4,1,0,yes
46,67409,11,0,4,1,0,0,no
37,65400,17,2,9,4,1,0,yes
37,51231,7,0,2,1,0,0,no
29,38525,3,0,1,0,0,0,no
29,59345,21,3,11,3,1,0,yes
45,79626,20,4,11,5,1,0,yes
45,61157,7,0,3,1,0,0,no
31,54312,11,4,11,3,1,0,yes
31,39325,4,0,1,1,0,0,no
31,42988,9,0,3,0,0,0,no
